,image,patch_id,class_id,class_label
0,D_P_F3_GA_F_RT_KK_F_LT_front_0910151647.jpg,13,7,GA
1,D_P_F3_GA_F_RT_KK_F_LT_front_0910151647.jpg,13,8,KK
2,D_P_F3_GA_F_RT_KK_F_LT_front_0910151647.jpg,14,7,GA
3,D_P_F3_GA_F_RT_KK_F_LT_front_0910151647.jpg,14,8,KK
4,T_P_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164711.jpg,15,9,SS
5,T_P_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164711.jpg,15,13,CK
6,T_P_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164711.jpg,24,9,SS
7,T_P_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164711.jpg,24,13,CK
8,T_P_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164711.jpg,33,9,SS
9,T_P_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164711.jpg,33,13,CK
10,T_P_M2_GA_F_RT_KK_F_W_SS_F_LA_front_0904131121.jpg,13,7,GA
11,T_P_M2_GA_F_RT_KK_F_W_SS_F_LA_front_0904131121.jpg,13,8,KK
12,T_P_M2_GA_F_RT_KK_F_W_SS_F_LA_front_0904131121.jpg,14,7,GA
13,T_P_M2_GA_F_RT_KK_F_W_SS_F_LA_front_0904131121.jpg,14,8,KK
14,D_P_M4_CL_F_RL_LW_F_LL_front_0905160934.jpg,16,3,UNKNOWN
15,D_P_M4_CL_F_RL_LW_F_LL_front_0905160934.jpg,16,12,LW
16,D_P_M4_CL_F_RL_LW_F_LL_front_0905160934.jpg,17,3,UNKNOWN
17,D_P_M4_CL_F_RL_LW_F_LL_front_0905160934.jpg,17,12,LW
18,D_P_M5_GA_F_RT_KK_F_W_front_0906103806.jpg,14,7,GA
19,D_P_M5_GA_F_RT_KK_F_W_front_0906103806.jpg,14,8,KK
20,T_P_M5_GA_F_S_KK_F_LT_SS_F_RL_front_0906104522.jpg,13,7,GA
21,T_P_M5_GA_F_S_KK_F_LT_SS_F_RL_front_0906104522.jpg,13,8,KK
22,T_P_M5_GA_F_S_KK_F_LT_SS_F_RL_front_0906104522.jpg,22,7,GA
23,T_P_M5_GA_F_S_KK_F_LT_SS_F_RL_front_0906104522.jpg,22,8,KK
